nifti_value,original_label,source_atlas,hemi,main_label,secondary_label,extra
1,Yeo17_LH_VisCent_ExStr_1,Yeo17,LH,VisCent,ExStr,1
2,Yeo17_LH_VisCent_ExStr_2,Yeo17,LH,VisCent,ExStr,2
3,Yeo17_LH_VisCent_ExStr_3,Yeo17,LH,VisCent,ExStr,3
4,Yeo17_LH_VisCent_ExStr_4,Yeo17,LH,VisCent,ExStr,4
5,Yeo17_LH_VisPeri_ExStrInf_1,Yeo17,LH,VisPeri,ExStrInf,1
6,Yeo17_LH_VisPeri_ExStrInf_2,Yeo17,LH,VisPeri,ExStrInf,2
7,Yeo17_LH_VisPeri_ExStrInf_3,Yeo17,LH,VisPeri,ExStrInf,3
8,Yeo17_LH_SomMotA_1,Yeo17,LH,SomMotA,1,
9,Yeo17_LH_SomMotA_2,Yeo17,LH,SomMotA,2,
10,Yeo17_LH_SomMotB_Aud_1,Yeo17,LH,SomMotB,Aud,1
11,Yeo17_LH_SomMotB_Aud_2,Yeo17,LH,SomMotB,Aud,2
12,Yeo17_LH_SomMotB_Aud_3,Yeo17,LH,SomMotB,Aud,3
13,Yeo17_LH_SomMotB_Aud_4,Yeo17,LH,SomMotB,Aud,4
14,Yeo17_LH_DorsAttnA_SPL_1,Yeo17,LH,DorsAttnA,SPL,1
15,Yeo17_LH_DorsAttnA_SPL_2,Yeo17,LH,DorsAttnA,SPL,2
16,Yeo17_LH_DorsAttnA_SPL_3,Yeo17,LH,DorsAttnA,SPL,3
17,Yeo17_LH_DorsAttnB_PostC_1,Yeo17,LH,DorsAttnB,PostC,1
18,Yeo17_LH_DorsAttnB_PostC_2,Yeo17,LH,DorsAttnB,PostC,2
19,Yeo17_LH_DorsAttnB_PostC_3,Yeo17,LH,DorsAttnB,PostC,3
20,Yeo17_LH_DorsAttnB_FEF_1,Yeo17,LH,DorsAttnB,FEF,1
21,Yeo17_LH_SalVentAttnA_ParOper_1,Yeo17,LH,SalVentAttnA,ParOper,1
22,Yeo17_LH_SalVentAttnA_Ins_1,Yeo17,LH,SalVentAttnA,Ins,1
23,Yeo17_LH_SalVentAttnA_Ins_2,Yeo17,LH,SalVentAttnA,Ins,2
24,Yeo17_LH_SalVentAttnA_ParMed_1,Yeo17,LH,SalVentAttnA,ParMed,1
25,Yeo17_LH_SalVentAttnA_FrMed_1,Yeo17,LH,SalVentAttnA,FrMed,1
26,Yeo17_LH_SalVentAttnB_PFCl_1,Yeo17,LH,SalVentAttnB,PFCl,1
27,Yeo17_LH_SalVentAttnB_PFCmp_1,Yeo17,LH,SalVentAttnB,PFCmp,1
28,Yeo17_LH_Limbic_OFC_1,Yeo17,LH,Limbic,OFC,1
29,Yeo17_LH_Limbic_TempPole_1,Yeo17,LH,Limbic,TempPole,1
30,Yeo17_LH_Limbic_TempPole_2,Yeo17,LH,Limbic,TempPole,2
31,Yeo17_LH_ContA_IPS_1,Yeo17,LH,ContA,IPS,1
32,Yeo17_LH_ContA_PFCl_1,Yeo17,LH,ContA,PFCl,1
33,Yeo17_LH_ContA_PFCl_2,Yeo17,LH,ContA,PFCl,2
34,Yeo17_LH_ContB_PFClv_1,Yeo17,LH,ContB,PFClv,1
35,Yeo17_LH_ContC_pCun_1,Yeo17,LH,ContC,pCun,1
36,Yeo17_LH_ContC_pCun_2,Yeo17,LH,ContC,pCun,2
37,Yeo17_LH_ContC_Cingp_1,Yeo17,LH,ContC,Cingp,1
38,Yeo17_LH_DefaultA_PFCd_1,Yeo17,LH,DefaultA,PFCd,1
39,Yeo17_LH_DefaultA_PCC_1,Yeo17,LH,DefaultA,PCC,1
40,Yeo17_LH_DefaultA_PFCm_1,Yeo17,LH,DefaultA,PFCm,1
41,Yeo17_LH_DefaultB_Temp_1,Yeo17,LH,DefaultB,Temp,1
42,Yeo17_LH_DefaultB_Temp_2,Yeo17,LH,DefaultB,Temp,2
43,Yeo17_LH_DefaultB_IPL_1,Yeo17,LH,DefaultB,IPL,1
44,Yeo17_LH_DefaultB_PFCd_1,Yeo17,LH,DefaultB,PFCd,1
45,Yeo17_LH_DefaultB_PFCl_1,Yeo17,LH,DefaultB,PFCl,1
46,Yeo17_LH_DefaultB_PFCv_1,Yeo17,LH,DefaultB,PFCv,1
47,Yeo17_LH_DefaultB_PFCv_2,Yeo17,LH,DefaultB,PFCv,2
48,Yeo17_LH_DefaultC_Rsp_1,Yeo17,LH,DefaultC,Rsp,1
49,Yeo17_LH_DefaultC_PHC_1,Yeo17,LH,DefaultC,PHC,1
50,Yeo17_LH_TempPar_1,Yeo17,LH,TempPar,1,
51,OxTh_LH_Thalamus_PrimaryMotor,OxTh,LH,Thalamus,PrimaryMotor,
52,OxTh_LH_Thalamus_Sensory,OxTh,LH,Thalamus,Sensory,
53,OxTh_LH_Thalamus_Occipital,OxTh,LH,Thalamus,Occipital,
54,OxTh_LH_Thalamus_Prefrontal,OxTh,LH,Thalamus,Prefrontal,
55,OxTh_LH_Thalamus_Premotor,OxTh,LH,Thalamus,Premotor,
56,OxTh_LH_Thalamus_PosteriorParietal,OxTh,LH,Thalamus,PosteriorParietal,
57,OxTh_LH_Thalamus_Temporal,OxTh,LH,Thalamus,Temporal,
58,OxStr7_LH_Striatum_Limbic,OxStr7,LH,Striatum,Limbic,
59,OxStr7_LH_Striatum_Executive,OxStr7,LH,Striatum,Executive,
60,OxStr7_LH_Striatum_MotorRostral,OxStr7,LH,Striatum,MotorRostral,
61,OxStr7_LH_Striatum_MotorCaudal,OxStr7,LH,Striatum,MotorCaudal,
62,OxStr7_LH_Striatum_Parietal,OxStr7,LH,Striatum,Parietal,
63,OxStr7_LH_Striatum_Occipital,OxStr7,LH,Striatum,Occipital,
64,OxStr7_LH_Striatum_Temporal,OxStr7,LH,Striatum,Temporal,
65,HOSub_LH_Hippocampus,HOSub,LH,Hippocampus,,
66,HOSub_LH_Amygdala,HOSub,LH,Amygdala,,
