nifti_value,original_label,source_atlas,hemi,main_label,secondary_label,extra
1,Yeo7_RH_Vis_1,Yeo7,RH,Vis,1,
2,Yeo7_RH_Vis_2,Yeo7,RH,Vis,2,
3,Yeo7_RH_Vis_3,Yeo7,RH,Vis,3,
4,Yeo7_RH_Vis_4,Yeo7,RH,Vis,4,
5,Yeo7_RH_Vis_5,Yeo7,RH,Vis,5,
6,Yeo7_RH_Vis_6,Yeo7,RH,Vis,6,
7,Yeo7_RH_Vis_7,Yeo7,RH,Vis,7,
8,Yeo7_RH_Vis_8,Yeo7,RH,Vis,8,
9,Yeo7_RH_SomMot_1,Yeo7,RH,SomMot,1,
10,Yeo7_RH_SomMot_2,Yeo7,RH,SomMot,2,
11,Yeo7_RH_SomMot_3,Yeo7,RH,SomMot,3,
12,Yeo7_RH_SomMot_4,Yeo7,RH,SomMot,4,
13,Yeo7_RH_SomMot_5,Yeo7,RH,SomMot,5,
14,Yeo7_RH_SomMot_6,Yeo7,RH,SomMot,6,
15,Yeo7_RH_SomMot_7,Yeo7,RH,SomMot,7,
16,Yeo7_RH_SomMot_8,Yeo7,RH,SomMot,8,
17,Yeo7_RH_DorsAttn_Post_1,Yeo7,RH,DorsAttn,Post,1
18,Yeo7_RH_DorsAttn_Post_2,Yeo7,RH,DorsAttn,Post,2
19,Yeo7_RH_DorsAttn_Post_3,Yeo7,RH,DorsAttn,Post,3
20,Yeo7_RH_DorsAttn_Post_4,Yeo7,RH,DorsAttn,Post,4
21,Yeo7_RH_DorsAttn_Post_5,Yeo7,RH,DorsAttn,Post,5
22,Yeo7_RH_DorsAttn_FEF_1,Yeo7,RH,DorsAttn,FEF,1
23,Yeo7_RH_DorsAttn_FEF_2,Yeo7,RH,DorsAttn,FEF,2
24,Yeo7_RH_SalVentAttn_TempOccPar_1,Yeo7,RH,SalVentAttn,TempOccPar,1
25,Yeo7_RH_SalVentAttn_TempOccPar_2,Yeo7,RH,SalVentAttn,TempOccPar,2
26,Yeo7_RH_SalVentAttn_FrOper_1,Yeo7,RH,SalVentAttn,FrOper,1
27,Yeo7_RH_SalVentAttn_Med_1,Yeo7,RH,SalVentAttn,Med,1
28,Yeo7_RH_SalVentAttn_Med_2,Yeo7,RH,SalVentAttn,Med,2
29,Yeo7_RH_Limbic_OFC_1,Yeo7,RH,Limbic,OFC,1
30,Yeo7_RH_Limbic_TempPole_1,Yeo7,RH,Limbic,TempPole,1
31,Yeo7_RH_Cont_Par_1,Yeo7,RH,Cont,Par,1
32,Yeo7_RH_Cont_Par_2,Yeo7,RH,Cont,Par,2
33,Yeo7_RH_Cont_PFCl_1,Yeo7,RH,Cont,PFCl,1
34,Yeo7_RH_Cont_PFCl_2,Yeo7,RH,Cont,PFCl,2
35,Yeo7_RH_Cont_PFCl_3,Yeo7,RH,Cont,PFCl,3
36,Yeo7_RH_Cont_PFCl_4,Yeo7,RH,Cont,PFCl,4
37,Yeo7_RH_Cont_PFCmp_1,Yeo7,RH,Cont,PFCmp,1
38,Yeo7_RH_Cont_PFCmp_2,Yeo7,RH,Cont,PFCmp,2
39,Yeo7_RH_Cont_PFCmp_3,Yeo7,RH,Cont,PFCmp,3
40,Yeo7_RH_Default_Par_1,Yeo7,RH,Default,Par,1
41,Yeo7_RH_Default_Temp_1,Yeo7,RH,Default,Temp,1
42,Yeo7_RH_Default_Temp_2,Yeo7,RH,Default,Temp,2
43,Yeo7_RH_Default_Temp_3,Yeo7,RH,Default,Temp,3
44,Yeo7_RH_Default_PFCv_1,Yeo7,RH,Default,PFCv,1
45,Yeo7_RH_Default_PFCv_2,Yeo7,RH,Default,PFCv,2
46,Yeo7_RH_Default_PFCm_1,Yeo7,RH,Default,PFCm,1
47,Yeo7_RH_Default_PFCm_2,Yeo7,RH,Default,PFCm,2
48,Yeo7_RH_Default_PFCm_3,Yeo7,RH,Default,PFCm,3
49,Yeo7_RH_Default_PCC_1,Yeo7,RH,Default,PCC,1
50,Yeo7_RH_Default_PCC_2,Yeo7,RH,Default,PCC,2
51,OxTh_RH_Thalamus_PrimaryMotor,OxTh,RH,Thalamus,PrimaryMotor,
52,OxTh_RH_Thalamus_Sensory,OxTh,RH,Thalamus,Sensory,
53,OxTh_RH_Thalamus_Occipital,OxTh,RH,Thalamus,Occipital,
54,OxTh_RH_Thalamus_Prefrontal,OxTh,RH,Thalamus,Prefrontal,
55,OxTh_RH_Thalamus_Premotor,OxTh,RH,Thalamus,Premotor,
56,OxTh_RH_Thalamus_PosteriorParietal,OxTh,RH,Thalamus,PosteriorParietal,
57,OxTh_RH_Thalamus_Temporal,OxTh,RH,Thalamus,Temporal,
58,OxStr7_RH_Striatum_Limbic,OxStr7,RH,Striatum,Limbic,
59,OxStr7_RH_Striatum_Executive,OxStr7,RH,Striatum,Executive,
60,OxStr7_RH_Striatum_MotorRostral,OxStr7,RH,Striatum,MotorRostral,
61,OxStr7_RH_Striatum_MotorCaudal,OxStr7,RH,Striatum,MotorCaudal,
62,OxStr7_RH_Striatum_Parietal,OxStr7,RH,Striatum,Parietal,
63,OxStr7_RH_Striatum_Occipital,OxStr7,RH,Striatum,Occipital,
64,OxStr7_RH_Striatum_Temporal,OxStr7,RH,Striatum,Temporal,
65,HOSub_RH_Hippocampus,HOSub,RH,Hippocampus,,
66,HOSub_RH_Amygdala,HOSub,RH,Amygdala,,
